Date,Price,Returns,Market_Cap,Energy_TWh_Annual,fear_greed_index,electricity_price,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,in_analysis_period,construction
2021-07-13,32837.5,-0.0334403870771383,618349103162.2013,58.0119748269384,20.0,0.05835850000000001,9275320.09024078,9839382664.944338,62.84429869419042,4.140660218020883,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-14,32508.68,-0.0100135515797487,612190699825.1514,60.9094916216786,21.0,0.05835850000000001,9738593.33370885,9849121258.278048,62.15688524604301,4.1296615961495196,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-15,32792.98,0.0087453566247539,617578269782.0962,60.2313497385014,20.0,0.05835850000000001,9630167.736203656,9858751426.014252,62.64264541171965,4.137446282778664,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-16,31756.0,-0.0316220117842295,598081863863.2699,61.4026863150985,22.0,0.05835850000000001,9817448.409095004,9868568874.423347,60.604721056701116,4.104372795266905,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-17,31824.91,0.0021699836251416,599412408462.0338,60.2692916972812,15.0,0.05835850000000001,9636234.135659685,9878205108.559008,60.68029585077867,4.105619030058074,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-18,31722.08,-0.0032311167572821,597508232545.183,61.0138860601413,19.0,0.05835850000000001,9755284.574358238,9887960393.133366,60.427854561403684,4.101450166870541,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-19,31610.94,-0.0035035533609398,595447296515.3638,63.2226614619464,24.0,0.05835850000000001,10108437.50390959,9898068830.637276,60.157926430283936,4.096973211465847,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-20,30772.25,-0.026531637464751,579680694288.8447,61.9980261660447,19.0,0.05835850000000001,9912635.095920878,9907981465.733196,58.50643708748077,4.069136783867761,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-21,29859.0,-0.0296777128744242,562507734606.7969,60.0270887806664,10.0,0.05835850000000001,9597509.207141154,9917578974.940338,56.71825110020672,4.038096047831126,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-22,31779.04,0.0643035600656418,598711576656.3251,61.1149076996813,21.0,0.05835850000000001,9771436.550662605,9927350411.491001,60.30930226491359,4.099486358251777,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-23,32234.53,0.0143330320865575,607325972501.1956,59.7900979790016,23.0,0.05835850000000001,9559617.624404289,9936910029.115406,61.11819174388362,4.112809559078392,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-24,32491.82,0.007981813291523,612206826568.9138,60.0355714623462,22.0,0.05835850000000001,9598865.471740633,9946508894.587147,61.549919982686035,4.119848552592023,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-25,33935.75,0.0444398005405668,639447930348.6796,60.5637437263267,27.0,0.05835850000000001,9683312.981514622,9956192207.56866,64.22615363558104,4.162410505241493,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-26,34436.11,0.0147443330411145,648911413810.0908,59.3900283516567,26.0,0.05835850000000001,9495651.971397692,9965687859.540058,65.11456338549617,4.1761482321141665,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-27,37730.82,0.0956760214786165,711035280661.3661,62.2069466323808,32.0,0.05835850000000001,9946038.616563823,9975633898.156622,71.27720282444977,4.266576540311331,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-28,38041.75,0.008240743243852,716933643991.6053,63.2390664106199,50.0,0.05835850000000001,10111060.430477155,9985744958.5871,71.79570948035163,4.273824717727622,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-29,39943.73,0.0499971741573403,752819130107.0118,63.9840227661547,50.0,0.05835850000000001,10230168.746845588,9995975127.333944,75.31222522237292,4.321642475178706,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-30,39725.69,-0.0054586789966786,748750319843.7793,66.1499690916871,53.0,0.05835850000000001,10576473.893800607,10006551601.227745,74.82600896715628,4.315165538006771,1,1,canonical_v2_cambridge_prices_freeze_last
